document_no,sentence_no,content
100,570,"SoCalGas Field Labor – Distribution, Transmission, Pipeline Integrity, and Other Field Departments • SoCalGas Field Labor (1,490 hours) Southern California Gas Company 2019 GRC APP125Other Capital Costs Project Costs Prior to 2018* 2018 2019 2020 2021 Total DIRECT LABOR $0 $0 $0 $0 $0 $0 DIRECT NON-LABOR $236,577 $355,929 $0 $3,393,005 $0 $3,985,511 TOTAL DIRECT COSTS $236,577 $355,929 $0 $3,393,005 $0 $3,985,511 Assumptions Other costs assume use of contracted Project Management, Engineering, Survey and Design service."
100,571,"The major components in this category include: • Engineering / Design Services (4,785 total hours) • PM / Project Services (1,453 hours) • Construction Management (5,400 hours) • Surveying / As-builts (848 hours) Southern California Gas Company 2019 GRC APP126Project Costs – O&M Prior to 2018* 2018 2019 2020 2021 Total DIRECT LABOR $10,888 $0 $0 $1,614,908 $0 $1,625,796 DIRECT NON-LABOR $256,563 $0 $0 $38,054,210 $0 $38,310,773 TOTAL DIRECT COSTS $267,451 $0 $0 $39,669,118 $0 $39,936,569 Total O&M Costs $267,451 $0 $0 $39,669,118 $0 $39,936,569 * Actual costs incurred associated with planning and engineering design work are included in the project cost estimates Project Costs - Capital Prior to 2018* 2018 2019 2020 2021 Total DIRECT LABOR $3,252 $0 $0 $481,536 $0 $484,788 DIRECT NON-LABOR $76,636 $0 $0 $11,347,063 $0 $11,423,699 TOTAL DIRECT COSTS $79,888 $0 $0 $11,828,599 $0 $11,908,487 Total Capital Costs $79,888 $0 $0 $11,828,599 $0 $11,908,487 * Actual costs incurred associated with planning and engineering design work are included in the project cost estimates Total Project Costs Prior to 2018* 2018 2019 2020 2021 Total DIRECT LABOR $14,140 $0 $0 $2,096,444 $0 $2,110,584 DIRECT NON-LABOR $333,199 $0 $0 $49,401,273 $0 $49,734,472 TOTAL DIRECT COSTS $347,339 $0 $0 $51,497,717 $0 $51,845,056 Total Costs** $347,339 $0 $0 $51,497,717 $0 $51,845,056 * Actual costs incurred associated with planning and engineering design work are included in the project cost estimates ** Individual component tables display total direct costs (Capital and O&M)."
100,572,Project Description The Line 2000 Blythe to Cactus City project will hydrostatically test 64.650 miles of pipe.
100,573,"L-2000 is a high pressure transmission pipeline, this portion was installed in 1947."
100,574,This portion of L-2000 an MAOP between 695 and psig.
100,575,The L-2000 project was originally proposed in A.11-11-002 as one project consisting of 117.6 miles.
100,576,"To more efficiently execute this large project, L-2000 was divided into the following projects: L-2000-A, L-2000-Bridge, L-2000-C, L-2000 Chino Hills, L-2000-D, L-2000-E, L-2000 Blythe to Cactus City, and L-2000 West."
100,577,"The project is located in Riverside County, CA, beginning west of Mesa Verde, CA near Ironwood State Prison, continuing west ending at the Cactus City Station Compressor Station."
100,578,"The project consists of 64.026 miles of Phase 2A mileage, 0.564 miles of accelerated Phase 2B mileage, and 0.060 miles of incidental pipe."
100,579,"The incidental pipe is included to improve constructability by minimizing excavations, test breaks, and tie-in work."
100,580,This project is divided into 32 individual test sections to address limitations due to elevation changes.
100,581,"The lowest and highest elevations are 380 feet and 1,760 feet, respectively."
100,582,"The capital scope of work includes the Southern California Gas Company 2019 GRC APP127replacement of 33 short sections of pipe, 14 taps, and remediation of two identified anomalies to facilitate the hydrotesting procedure."
100,583,"This capital work totals to 1,905 feet."
100,584,"Alternatives Considered Line 2000 is a primary feed to the SoCalGas transmission system between Blythe, CA and Los Angeles, CA."
100,585,"The abandonment of this section of L-2000 would result in a substantial loss in capacity to the Desert & Southern Transmission Zones since gas moves from Blythe towards the Los Angeles Basin Because of this, abandonment is not a viable option."
100,586,"Derating the pipeline to less than 20% SMYS would reduce the capacity of the pipeline, resulting in an inability to meet customer demand and also is not an option."
100,587,Shut-In Analysis The line section can be temporarily taken out of service to perform the hydrotests during the summer months.
100,588,The line will be isolated through the shut-in of mainline valves.
100,589,"During the outage, customers served by regulator stations within the isolated section will be supplied by L-2001 which is bridled to L-2000 at those locations."
100,590,Forecast Methodology SoCalGas developed a Total Installed Cost (TIC) estimate to implement the above scope of work.
100,591,"The TIC estimate includes direct costs associated with project management, engineering and design, environmental permitting, land acquisition, material and equipment procurement, and construction."
100,592,Schedule The schedule was developed based on the seven stage project life cycle described in testimony.
100,593,"As defined in testimony, key project deliverables were identified and incorporated into a work breakdown structure."
100,594,"This work breakdown structure was then sequenced, and predecessor and successor tasks were linked."
100,595,Estimated durations were established for each task to derive a total project timeline.
100,596,"As described in greater detail below, the preliminary Construction Schedule is estimated to be 127 working days."
100,597,Southern California Gas Company 2019 GRC APP128snchoonHighlightProject Overview Map for L-2000 Blythe to Cactus City PROJECT MILEAGE TABLE PHASE MILEAGE PHASE 2A 64.026 ACCELERATED PHASE 2B 0.564 INCIDENTAL 0.060 TOTAL MILEAGE 64.650 Southern California Gas Company 2019 GRC APP129[image: image55.jpg] 02 Joshua Tree National Park 177 L-2000 East of Cactus City COX Legend ....
100,598,"Accelerated Phase 2B xxxxx Incidental Abandon Replace IN Test Pipeline 012 Chocolate Sources: Esri, HERE, DeLorme, USGS, Intermap, INCREMENT P, NRCan, Esri Japan, METI, Esri China Miles (Hong Kong), Esri Korea, Esri (Thailand), MapmyIndia, NGCC, @ OpenStreetMap contributors, and the GIS Jser Community Project Map showing location of Test Breaks for L-2000 Blythe to Cactus City (Test Break 1 – 4) Southern California Gas Company 2019 GRC APP130[image: image56.png] Test Break 4 XX Test Break 3 Test Break 2 Test Break 1 Ironwood Legend State Prison Chuckavalla Valley State ...com Accelerated Phase 2B Prison XXXXX Incidental Abandon Replace Test Pipeline 0 0.5 1 2 Miles Sources: Esri, HERE, Delorme, USGS, Intermap, INCREMENT P, NRCan, Esri Japan, METI, Esri China (Hong Kong), Esri Korea, Esri (Thailand), MapmyIndia, NGCC, @ OpenStreetMap contributors, and the GIS User Community Project Map showing location of Test Breaks for L-2000 Blythe to Cactus City (Test Break 5 – 12) Southern California Gas Company 2019 GRC APP131[image: image57.jpg] Test Break 12 Test Break 11 Test Break 10 Test Break 9 Test Break 8 Test Break 7 Test Break 6 Test Break 5 Legend .."
100,599,.
100,600,"Accelerated Phase 2B XXXXX Incidental Abandon Replace Test Pipeline 0 0.5 1 2 Sources: Esri, HERE, DeLorme, USGS, Intermap, INCREMENT P, NRCan, Esri Japan, METI, Esri China Miles (Hong Kong), Esri Korea, Esri (Thailand), MapmyIndia, NGCC, @ OpenStreetMap contributors, and the GIS User Community Project Map showing location of Test Breaks for L-2000 Blythe to Cactus City (Test Break 12 – 18) Southern California Gas Company 2019 GRC APP132[image: image58.jpg] Desert Center Airport RiceRd Lake Tamarisk S Golf Club Test Break 18 Test Break 17 mesert Center Test Break 16 10 Test Break 15 Test Break 14 Test Break 13 Test Break 12 Legend ...Accelerated Phase 2B xxxxx Incidental Abandon Replace Test Pipeline 0 0.5 1 2 Sources: Esri, HERE, Delorme, USGS, Intermap, INCREMENT P, NRCan, Esri Japan, METI, Esri China Miles User Community (Hong Kong), Esri Korea, Esri (Thailand), MapmyIndia, NGCC, @ OpenStreetMap contributors, and the GIS Project Map showing location of Test Breaks for L-2000 Blythe to Cactus City (Test Break 18 – 22) Southern California Gas Company 2019 GRC APP133[image: image59.jpg] Hayfield Rd eagle Mountain Re Test Break 19 Test Break 18 Test Break 20 Test Break 21 Test Break 22 Legend ...."
100,601,"Accelerated Phase 2B xxxXX Incidental Abandon Replace Test Pipeline 0 0.25 0.5 Miles Sources: Esri, HERE, Delorme, USGS, Intermap, INCREMENT P, NRCan, Esri Japan, METI, Esri China (Hong Kong), Esri Korea, Esri (Thailand), MapmyIndia, NGCC, @ OpenStreetMap contributors, and the GIS User Community Project Map showing location of Test Breaks for L-2000 Blythe to Cactus City (Test Break 23 – 28) Southern California Gas Company 2019 GRC APP134[image: image60.jpg] Test Break 28 Test Break 27 Test Break 26 Test Break 25 Test Break 24 Test Break 23 Chiraco Summit Airport 10 Pinto-Rd 10 Legend ...."
100,602,"Accelerated Phase 2B XXXXX Incidental Abandon Replace Test Pipeline 0.25 0.5 1 Miles Sources: Esri, HERE, DeLorme, USGS, Intermap, INCREMENT P, NRCan, Esri Japan, METI, Esri China (Hong Kong), Esri Korea, Esri (Thailand), Mapmyindia, NGCC, @ OpenStreetMap contributors, and the GIS Jser Community Project Map showing location of Test Breaks for L-2000 Blythe to Cactus City (Test Break 28 – 33) Southern California Gas Company 2019 GRC APP135[image: image61.jpg] Cottonwood Springs Rd Joshua Tree National Park Test Break 33 Test Break 28 10 Test Break 32 Test Break 31 Test Break 30 Test Break 29 Canyon Rd Legend .co."
100,603,"Accelerated Phase 2B xxxXX Incidental Abandon Replace Test Pipeline 0 0.250.5 Sources: Esri, HERE, DeLorme, USGS, Intermap, INCREMENT P, NRCan, Esri Japan, METI, Esri China Miles (Hong Kong), Esri Korea, Esri (Thailand), MapmyIndia, NGCC, @ OpenStreetMap contributors, and the GIS User Community Project Satellite Map for L-2000 Blythe to Cactus City Southern California Gas Company 2019 GRC APP136[image: image62.jpg] San Bernardino Riverside 2000 East of Cactus City Importal Legend Hydrotest Replace 0 12 4 Pipeline Miles Esni, HERE, DeLame, Mapmyindia @ OpenStreetMap cominbutors, Est."
100,604,"HERE, DeLorme, MapmyIndia,@ OpenStreetMap contributors, and the C.S user community, Source: Esri Digita Globe GeoEye, Earthstar Geographics, ONESIALDIS DS, USDA, USGS, AeroGRID."
100,605,"IGN, and the GIS User Communty Elevation Exhibit for L-2000 Blythe to Cactus City Southern California Gas Company 2019 GRC APP137[image: image63.jpg] aker Rd Co Re RE Co RARa Comanche Tri -TE-18 LINE 2003 HYGROTEST CACTUS CITY TO-21 STATION Mayfield Rd END HYDROTES TO-29 T5-23 DESERT CENTER COMPRESSOR STATION BAGFIELD STATION TB-31 8-30 TD-29 SHAVER SUMMIT Box Canyon Re LIMITING STATION BEGIN HYDROTEST COUNTY OF P5 856+94.60 RIVERSIDE Cmokwats Valley Stat TS-03 Gas Line Ro CITY OF BLYTHE to Pavess Spike MY TE-36 TO-21 LINE 890 HYDROTEST EXISTING GRADE LIMITING STATION TH-23 TB-32 TB-21 END HYDROTEST RAYFIELD 18-19 PACTLE CITY STATION TH- 15 POLICY CENTER COMPRESSOR STATION TO-02 Southem California Gas Company Legend coolon Project OVERVIEW & PROFILE EXHIBIT LINE 2000 PHASE 2 HYDROTEST PS 350+94.60 TO PS 4208+05.00 6812F-EX-320 The direct costs for each area are summarized below."
100,606,"Material Project Costs Prior to 2018* 2018 2019 2020 2021 Total DIRECT LABOR $0 $0 $0 $0 $0 $0 DIRECT NON-LABOR $0 $0 $0 $1,502,545 $0 $1,502,545 TOTAL DIRECT COSTS $0 $0 $0 $1,502,545 $0 $1,502,545 Assumptions Materials for this project will not be purchased until final internal authorization is obtained."
100,607,"This will allow for material to be procured, inspected and delivered to coincide with the anticipated construction start date."
100,608,"Construction Project Costs Prior to 2018* 2018 2019 2020 2021 Total DIRECT LABOR $0 $0 $0 $0 $0 $0 DIRECT NON-LABOR $0 $0 $0 $24,180,128 $0 $24,180,128 TOTAL DIRECT COSTS $0 $0 $0 $24,180,128 $0 $24,180,128 Assumptions In the development of the construction estimate, the following assumptions and clarifications have been made: • Pricing based on current construction costs in Riverside County, CA • Construction scheduled to include 127 working days (12 hours per day, six days per week) • Installation of four lake tanks • Receipt of all materials to main yard • Fabrication and pre-testing of a total of 50 test heads • Due to limited accessibility, water staging duration, elevation and test pressure constraints 50 test heads were deemed necessary to complete the 32 test segments • Mechanical excavation up to approximately two feet of the existing pipeline; hand excavation within the two- foot zone • Performance of asbestos abatement of each test break and anomaly excavation, along with pipe inspection • Purging of gas and isolation of pipeline using contractor-fabricated isolation caps • Backfilling all excavations with zero-sack slurry or sand padding to one foot above pipeline; remainder of backfilling with native soil; excess spoils will be hauled off and disposed • A single final tie-in will be performed • Isolation and final tie-ins are a continuous operation • Fabrication of line taps and reconnection after line is brought back into service • No line seasoning Southern California Gas Company 2019 GRC APP138• Hauling off and disposal of hydrotest water • Estimate does not include holiday work, cultural resources, or ground water Additional Construction Information • Site Mobilization / Site Facilities - One mobilization and one demobilization - Placement of two office trailers at the laydown yard - Site facility costs to cover a six-month duration - Crushed rock for laydown yards • Site Preparation - Preparation of access roads prior to start of construction - Installation of lake tank pad - Temporary fencing has been included for laydown yard - Installation of additional temporary fencing to secure open excavations • Site Management / Best Management Practice (BMPs) - Environmental protective fencing at each of the hydrotest ends and anomaly excavations - BMP materials for all spoil piles, laydown yards, and work sites • SoCalGas / Company Furnished Material Handling - Unloading by contractor of 12 loads of SoCalGas furnished material at the laydown yard • Traffic Control - Not required • Utility Locates - Assessment of 49 utility locates to verify coating and pipe integrity prior to testing • Isolate Existing Pipeline - Isolation of a total of 14 taps prior to hydrotesting • Anomalies - Replacement of portions of pipe containing two identified anomalies prior to hydrotesting • Pressure Test Pipeline - A total of 33 test break break sites will be excavated for test head installation - Hydrotesting of a total of 32 individual test sections - Installation of test heads below grade; no vertical offset installation of test heads to an above-ground orientation Southern California Gas Company 2019 GRC APP139• Tie-In Pipeline - Re-installation of pipe at test breaks, after pipe sections are tested dewatered, prior to drying of test groups - Peformance of two hot tie-ins (Test Break 1 and Test Break 33) - X-ray of all welds • Paving - Not required • Retire / Abandon Existing Pipeline - Not required • Site Restoration - Restoration of work site locations to original condition - Stabilization of hillsides using jute matting and hydroseeding • Site Demobilization - Demobilization of site facilities, crew, and equipment - Removal of office trailers and breakdown of laydown yard - Excess piping will be hauled to SoCalGas designated yard • Field Overhead - One Project Manager, one Superintendent, one General Foreman, one Cost Controller and two Safety Personnel for full project duration - One Part-Time Scheduler - Four water trucks and drivers for full project duration for dust suppression - Four low-bed trucks to assist with equipment transportation between work locations - Three site security personnel for all non-working hours - Lodging and expenses for field personnel and project management team for full project duration Environmental Survey/Permitting/Monitoring Project Costs Prior to 2018* 2018 2019 2020 2021 Total DIRECT LABOR $0 $0 $0 $0 $0 $0 DIRECT NON-LABOR $0 $0 $0 $12,732,760 $0 $12,732,760 TOTAL DIRECT COSTS $0 $0 $0 $12,732,760 $0 $12,732,760 Southern California Gas Company 2019 GRC APP140Assumptions In calculating the total estimated environmental costs for the L-2000 East of Cactus City, the following items were considered: • Environmental Services (permitting support, surveys and monitoring) • Abatement (asbestos and lead) • Hazardous and non-hazardous waste containment/disposal (including hydrostatic test water hauling, treatement, and/or disposal) • Permit fees • Mitigation Environmental Labor • Environmental Contract Services Labor - 31,554 hours • Document Preparation and Project Management - SoCalGas Environmental Services support in addition to consultant support throughout duration of project (planning, permitting, construction, and closeout) - Document Production anticipated: o Worker Environmental Awareness Program (WEAP) development o Storm Water Pollution and Prevention Plan (SWPPP) and Notice of Intent (NOI) o Cultural report for consultation with Bureau of Land Management (BLM) • Preconstruction Surveys - Habitat and impact assessment during planning phase - Waters delineation and permitting - Biological Opinion Clearance Surveys four surveys for burrowing owls - Cultural survey for consultation with BLM (18-day field survey with two archaeologists) • Construction Monitoring - Total of 17 monitors (Two biologists per crew with eight crews working at one time and one oversight monitor) • Closeout activities - Restoration support, permit reporting, and closeout Abatement • 224 days for asbestos and lead abatement Water Hauling and Disposal • Source Hydro-test water (4,928,000 gallons total) water source from hydrants at Chiriaco Summit and Blythe • Hydrotest Water Delivery: Trucking to site less than 280 miles round-trip for delivery Southern California Gas Company 2019 GRC APP141• Hydrostest Water Disposal: Offsite disposal and no treatment; disposal approximately 280 miles round-trip plus disposal fees • Hydrotest standby support (one vacuum truck for each test) • No groundwater dewatering anticipated • No contaminated soil expected to be encountered • Waste sampling and profiling anticipated to support disposal of wastes generated during construction • Hazardous and non- hazardous waste transport and disposal anticipated for various wastes (e.g. lead paint, pigs used to dry the pipeline post hydrostatic testing, asbestos containing material, etc.) Permit Fees • SWPPP fee (fees are set by the agency and are subject to change) • SCAQMD Dust Control and abatement fees (fees are set by the agency and are subject to change) Mitigation Fees • $149,993 – Estimated fees per BLM/California Department of Fish and Wildlife (CDFW) requirements Land & Right-of-Way Acquisition Project Costs Prior to 2018* 2018 2019 2020 2021 Total DIRECT LABOR $0 $0 $0 $0 $0 $0 DIRECT NON-LABOR $0 $0 $0 $165,052 $0 $165,052 TOTAL DIRECT COSTS $0 $0 $0 $165,052 $0 $165,052 Assumptions In generating the cost estimate, the following items were considered: • Legal Services • Permitting Fees • New Easement Costs • Temporary Right of Entry (TRE) - Construction Yards • Temporary Right of Entry (TRE) - Workspace Land Services • Land Contract Services Labor: 2,096 hours Factors such as location, zoning, current market price and square footage are considered to determine a final estimated value specific to easements and temporary rights of entry permits."
100,609,Previous project experience specific to the Riverside County area was also considered in generating the cost estimate.
100,610,"Southern California Gas Company 2019 GRC APP142Company Labor Project Costs Prior to 2018* 2018 2019 2020 2021 Total DIRECT LABOR $14,140 $0 $0 $2,096,444 $0 $2,110,584 DIRECT NON-LABOR $0 $0 $0 $0 $0 $0 TOTAL DIRECT COSTS $14,140 $0 $0 $2,096,444 $0 $2,110,584 Assumptions SoCalGas Non-Union Labor is estimated based upon activity level of effort and is divided into the following categories: • SoCalGas Labor – Management, Engineering, and Non-Union Labor - Project Management (4,341 hours) - Project Field Management (1,823 hours) - Project Engineer (663 hours) - Construction Management/ Inspectors (1,524 hours) - Environmental (988 hours) - Other Departments (3,322 hours) SoCalGas Union Labor costs were developed with the guidance of SoCalGas Construction Management and whose costs are duration-dependent and activity-specific."
100,611,"• SoCalGas Field Labor – Distribution, Transmission, Pipeline Integrity, and Other Field Departments - SoCalGas Field Labor: 6,696 hours Other Capital Costs Project Costs Prior to 2018* 2018 2019 2020 2021 Total DIRECT LABOR $0 $0 $0 $0 $0 $0 DIRECT NON-LABOR $333,199 $0 $0 $10,820,788 $0 $11,153,987 TOTAL DIRECT COSTS $333,199 $0 $0 $10,820,788 $0 $11,153,987 Assumptions Other capital costs assume use of contracted Project Management, Engineering and Design services."
100,612,"The major components in this category include: • Engineering / Design Services (10,005 hours) • PM / Project Services (1,211 hours) • Construction Management (15,240 hours) • Surveying / As-builts (1,396 hours) Southern California Gas Company 2019 GRC APP143Project Costs – O&M Prior to 2018* 2018 2019 2020 2021 Total DIRECT LABOR $30,675 $0 $0 $0 $1,975,599 $2,006,274 DIRECT NON-LABOR $318,964 $0 $0 $0 $20,542,819 $20,861,783 TOTAL DIRECT COSTS $349,639 $0 $0 $0 $22,518,418 $22,868,057 Total O&M Costs $349,639 $0 $0 $0 $22,518,418 $22,868,057 * Actual costs incurred associated with planning and engineering design work are included in the project cost estimates Project Costs - Capital Prior to 2018* 2018 2019 2020 2021 Total DIRECT LABOR $4,584 $0 $0 $0 $290,280 $294,864 DIRECT NON-LABOR $47,661 $0 $0 $0 $3,018,412 $3,066,073 TOTAL DIRECT COSTS $52,245 $0 $0 $0 $3,308,692 $3,360,937 Total Capital Costs $52,245 $0 $0 $0 $3,308,692 $3,360,937 * Actual costs incurred associated with planning and engineering design work are included in the project cost estimates Total Project Costs Prior to 2018* 2018 2019 2020 2021 Total DIRECT LABOR $35,259 $0 $0 $0 $2,265,879 $2,301,138 DIRECT NON-LABOR $366,625 $0 $0 $0 $23,561,231 $23,927,856 TOTAL DIRECT COSTS $401,884 $0 $0 $0 $25,827,110 $26,228,994 Total Costs** $401,884 $0 $0 $0 $25,827,110 $26,228,994 * Actual costs incurred associated with planning and engineering design work are included in the project cost estimates ** Individual component tables display total direct costs (Capital and O&M)."
100,613,Project Description The Line 2001 West-C project will hydrostatically test 13.853 miles of pipe.
100,614,"L-2000 West is a high pressure transmission pipeline, this portion was installed in 1953."
100,615,The pipeline has a MAOP of psig.
100,616,The L-2001W project was originally proposed in A.11-11-002 as one project consisting of 64.1 miles.
100,617,"To more efficiently execute this large project, L-2001 West was divided into the following projects: L-2001W-A, L-2001W-B, L-2001W-C, L-2001W-D, and L-2001W-E."
100,618,"This project is located in Riverside County, CA, beginning west of Indio, CA, continuing west ending at the Whitewater Station."
100,619,The project consists of 13.830 miles of Phase 2A pipe and .023 miles of incidental pipe.
100,620,"The incidental pipe has been included to facilitate constructability by minimizing excavations, test breaks, and tie-in work."
100,621,This project is divided into 13 hydrotest sections to address test pressure limitations due to elevation changes and Southern California Gas Company 2019 GRC APP144environmental impact mitigation.
100,622,"The lowest and highest elevations are 120 feet and 1,090 feet, respectively."
100,623,The capital scope of work includes the replacement of four taps and 16 short sections of pipe to facilitate the hydrotest procedure.
100,624,"Additionally, 237 feet of pipe will be replaced east of Whitewater station following the Decision Tree methodology for segments of pipe under 1,000 feet."
100,625,This capital work totals to 877 feet.
100,626,"Alternatives Considered In conjunction with L-2001 East and L-1030, L-2001W is a primary feed to the SoCalGas transmission system between Blythe, CA and Los Angeles, CA."
100,627,The abandonment of this section of L-2001W would result in a substantial loss in capacity to the Desert & Southern Transmission Zones since gas moves from Blythe towards the Los Angeles Basin.
100,628,"Because of this, abandonment is not a viable option."
100,629,"Derating the pipeline to less than 20% SMYS would reduce the capacity of the pipeline, resulting in an inability to meet customer demand and also is not an option."
100,630,Shut-In Analysis The line can be temporarily taken out of service to perform the hydrotest during the summer months.
100,631,The line will be isolated through the shut-in of mainline valves.
100,632,"During the outage, customers can be supplied via L-2000 which is bridled to L-2001W, there is no need for CNG support during this project."
100,633,Forecast Methodology SoCalGas developed a Total Installed Cost (TIC) estimate to implement the above scope of work.
100,634,"The TIC estimate includes direct costs associated with project management, engineering and design, environmental permitting, land acquisition, material and equipment procurement, and construction."
100,635,Schedule The schedule was developed based on the seven stage project life cycle described in testimony.
100,636,"As defined in testimony, key project deliverables were identified and incorporated into a work breakdown structure."
100,637,"This work breakdown structure was then sequenced, and predecessor and successor tasks were linked."
100,638,Estimated durations were established for each task to derive a total project timeline.
100,639,"As described in greater detail below, the preliminary Construction Schedule is estimated to be 141 working days."
100,640,Southern California Gas Company 2019 GRC APP145snchoonHighlightProject Map for Line 2001W-C Desert Hydrotest PROJECT MILEAGE TABLE PHASE MILEAGE PHASE 2A 13.830 ACCELERATED - PHASE 2B 0 INCIDENTAL 0.023 TOTAL MILEAGE 13.853 Southern California Gas Company 2019 GRC APP146[image: image64.jpg] N-Indian Canyon Dr Desert Hot Twentynine Palms-Hwy Springs Hacienda Ave 2001W-C Section 21 Palm Dr Mountain View Rd Dillon Rd Palm Canyo 2001W-C Test Section Indio Hills Palms Park 16-20 n Rd Vista Chino Coach 2001W-C DOF Ra Pre Test Section Palm 13-14 Springs Thousa Ramon Rd Palms E Ramon Ro Diah Shore Dr Cathedral Date Palm Dr Gerald Ford or City Rancho Bob Hope D Mirage Monterey Ave Cook St Country Club Dr Bermuda Portola A HOWey LIE Dunes Avenue 42 2001W-C Test Indian Fred Waring Dr Section 1-6 Palm wells Desert 111 Jeffer soria Indio 10 Avenue 48 Legend Coachella Avenue 52 Monroe St 50th Ave La Quinta ..
100,641,"Accelerated Phase 2B 52nd Ave 86 XXXXX Incidental Lake C ahuilla Airport Blud Abandon Park Replace 174 1S UOSipe V kson St Test Pipeline 2 4 Sources: Esri, HERE, DeLorme, USGS, Intermap, INCREMENT P, NRCan, Esri Japan, METI, Esri China Miles (Hong Kong), Esri Korea, Esri (Thailand), MapmyIndia, NGCC, @ OpenStreetMap contributors, and the GIS Palms Fwy- User Community Project Satellite Map for L-2001W-C Desert Hydrotest Southern California Gas Company 2019 GRC APP147[image: image65.jpg] Pier son Blud N indian Canyon Do Desert Hot Springs Section Palm Di Hacienda Ave Dillon Rd C-21 Mountain View Pd N Palm Canyon Dr IIndio Hills Section C Coachella ns Can you Ra Palms Park - 16-20 Valley Preserv E Vista Ching Vista Chino Palm Section C Springs Thousand - 13-14 EIRamon Rd Ramon Rd Palms Fam Epalm Canyon) Dr Dinah Shore Dra cardd Ford Dre Cathedral City Rancho Pock Mirage Country Club D."
100,642,"Mon tare Portola Section HOWGy LATE Avenue 42 4 2nd AV Bermudato hopeindio C-8 Dunes Palm Fred Waring Dr. Section C- 1-6 Desert 111 Indian 10 Wells sonis Avenue 48 La Quint 50 Coachella Avenue Monroe St 52nd Ave 86 Lake Legend C ahuilla ""Airport Blud herm al moHWY Park Madison Jack sont St Hydrotest Replace 2 4 Esh, HERE, DeLorme, Mapmyindia, @ OpenStreetMap contributors Esti, HERE, Del orme, MapmyIndia, Miles Open StreetMap contributors, and the GIS user community, Source: Esr, Digita e GeoEye, Earthstar Pipeline Geographics, CNES/Airbus DS."
100,643,"USDA, USGS, AeroGRID, IGN, and the GIS User Community Elevation Exhibit for Line 2001W-C Desert Hydrotest Southern California Gas Company 2019 GRC APP148[image: image66.png] N Desert Hot Springs COUNTY OF RIVERSIDE WHITEWATER Area with COUNTY OF Area with COUNTY OF LIMITING STATION Major Environmental Concern RIVERSIDE MLV12C Major Environmental Concern RIVERSIDE P$ 8682+62.27 8"" TAP MLV12A PS 6862+34.18 MLV 11A COUNTY OF P3 8160+84 0.76"" SHADOW MOUNTAIN TAP RIVERSIDE ""INDIAN TAP CANYON TB-18 8 6778+08 P3 8482+44.88 B-21 - "" WASHINGTON TAP TB-20 78-1 P3 6828+90.76 BEGIN WHITEWATER TB-19 8"" DATE PALM TAP TB-16 TB-13 REPLACEMENT PS 8868+74.00 TB-16 TB-12 L-2001W- C END WHITEWATER REPLACEMENT P3 8160+84 MLV 10A P3 6709+20.70 P3 6832+87.61 P3 8682+11.02 LV 8A Cathedral T-09 3 4783+42.13 2"" MASEY SAND AND ROCK TAP TB-AT TB-06- City PS 6388+84.26 DILLON TAP TB-08 - TB-01 P3 6143+28 TB-04- TB.04 TB-02 Palm Springs Coachella Palm Indic Desert COUNTY OF RIVERSIDE Rancho COUNTY OF Minge RIVERSIDE Indian Wells La Quinta Coachella MLV12C L-2001W-C - MLV 8A to Whitewater Limiting Station MLV BA 1.100- P3 8682+62.27 P8 4783+42.13 MLV12A P3 8682+34.18 MLV 114 11,510- - 15.116- - 29,181- - 4,373 - -TB.0 TB-21 TB-02 2"" INDIAN T TB:03 Elevation (Ft) P3 8482+44.88 -TB-20 BEGIN WHITEWATER REPLACEMENT "" TAP TB-18 TB-04 P3 6858+74.00 END WHITEWATER REPLACEMENT TB-18 re-17 WASHINGTON TAP P8 0882+11.02 PS 6828+80.75 EXISTING GRADE TB-06 (230 UDTRADE MLV 10A MATEY SAND AND ROCK TAP 8"" DATE PALM TB-16 PS 6708+20.70 TB-08 P3 8160+84 TB-14 P8 6332+87.51 0.75"" SHADOW MOUNTAIN TAP TB-13 TB- 12 TB-1 TB-10 2"" DILLON TAP PS 6143+28 -TB-07 150 060 PS 6778+08 -TB-08 110,060 sebo TB:08 2000-it Distance (FX) 510-1 910- 1,593-1 20 60 Legend BABE SKETO Southern California Gas Company Transmission Pipeline Project Laostwe Cay Panday -2001W-C Hydrotest Palm Desert Overview & Profile Exhibit 6178-RM-100 The direct costs for each area are summarized below."
100,644,"Material Project Costs Prior to 2018 2018 2019 2020 2021 Total DIRECT LABOR $0 $0 $0 $0 $0 $0 DIRECT NON-LABOR $0 $0 $0 $0 $1,212,136 $1,212,136 TOTAL DIRECT COSTS $0 $0 $0 $0 $1,212,136 $1,212,136 Assumptions Materials for this project will not be purchased until final internal authorization is obtained."
100,645,"This will allow for material to be procured, inspected and delivered to coincide with the anticipated construction start date."
